;Кирилл Волошин;;30 сентября 2018;https://stopgame.ru/show/101400/frozen_synapse_2_review
;Алексей Лихачев;;23 сентября 2018;https://stopgame.ru/show/101356/destiny_2_forsaken_review
;Алексей Лихачев;;19 сентября 2018;https://stopgame.ru/show/101266/dragon_quest_xi_echoes_of_an_elusive_age_review
;Алексей Лихачев;;2 сентября 2018;https://stopgame.ru/show/101088/the_messenger_review
;Алексей Лихачев;;22 августа 2018;https://stopgame.ru/show/100929/guacamelee_2_review
;Катерина Краснопольская;;21 августа 2018;https://stopgame.ru/show/100879/evoland_2_a_slight_case_of_spacetime_continuum_disorder_review
;Кирилл Волошин;;18 августа 2018;https://stopgame.ru/show/100851/undertale_review
;Алексей Лихачев;;10 августа 2018;https://stopgame.ru/show/100750/dead_cells_review
;Алексей Лихачев;;9 августа 2018;https://stopgame.ru/show/100744/flat_heroes_review
;Кирилл Волошин;;29 июля 2018;https://stopgame.ru/show/100566/the_vagrant_review
;Кирилл Волошин;;26 июля 2018;https://stopgame.ru/show/100554/the_banner_saga_3_review
;Алексей Лихачев;;6 июля 2018;https://stopgame.ru/show/100225/hollow_knight_review
;Кирилл Волошин;;3 июля 2018;https://stopgame.ru/show/100209/rainbow_skies_review
;Алексей Лихачев;;6 июня 2018;https://stopgame.ru/show/99589/yoku_s_island_express_review
;Кирилл Волошин;;6 июня 2018;https://stopgame.ru/show/99587/moonlighter_review
;Кирилл Волошин;;28 мая 2018;https://stopgame.ru/show/99464/forgotton_anne_review
;Кирилл Волошин;;15 мая 2018;https://stopgame.ru/show/99169/pillars_of_eternity_2_deadfire_review
;Алексей Швек;;10 мая 2018;https://stopgame.ru/show/99075/donkey_kong_country_tropical_freeze_review
;Евгений Баранов;;8 мая 2018;https://stopgame.ru/show/99043/frostpunk_review
;Алексей Лихачев;;30 апреля 2018;https://stopgame.ru/show/98932/owlboy_review
;Кирилл Волошин;;23 апреля 2018;https://stopgame.ru/show/98835/dead_in_vinland_review
;Кирилл Волошин;;8 апреля 2018;https://stopgame.ru/show/98600/batman_the_enemy_within_the_telltale_series_review_sezona
;Алексей Лихачев;;3 апреля 2018;https://stopgame.ru/show/98496/minit_review
;Алексей Швек;;29 марта 2018;https://stopgame.ru/show/98401/ni_no_kuni_wrath_of_the_white_witch_review
;Алексей Лихачев;;25 марта 2018;https://stopgame.ru/show/98345/pubg_battlegrounds_review_mobilnoy_versii
;Кирилл Волошин;;25 марта 2018;https://stopgame.ru/show/98292/ghost_of_a_tale_review
;Кирилл Волошин;;14 марта 2018;https://stopgame.ru/show/98122/pit_people_review
;Алексей Лихачев;;6 марта 2018;https://stopgame.ru/show/97964/into_the_breach_review
;Александр Бурсов;;23 февраля 2018;https://stopgame.ru/show/97850/kingdom_come_deliverance_review
;Кирилл Волошин;;15 февраля 2018;https://stopgame.ru/show/97717/wulverblade_review
;Глеб Мещеряков;;14 февраля 2018;https://stopgame.ru/show/97713/crossing_souls_review
;Алексей Лихачев;;7 февраля 2018;https://stopgame.ru/show/97572/celeste_review
;Кирилл Волошин;;4 февраля 2018;https://stopgame.ru/show/97512/full_metal_furies_review
;Алексей Лихачев;;30 января 2018;https://stopgame.ru/show/97444/iconoclasts_review
;Кирилл Волошин;;24 января 2018;https://stopgame.ru/show/97346/subnautica_review
;Кирилл Волошин;;31 декабря 2017;https://stopgame.ru/show/96795/finding_paradise_review
;Алексей Лихачев;;31 декабря 2017;https://stopgame.ru/show/96794/gorogoa_review
;Алексей Лихачев;;28 декабря 2017;https://stopgame.ru/show/96780/life_is_strange_before_the_storm_review_sezona
;Алексей Швек;;26 декабря 2017;https://stopgame.ru/show/96763/okami_hd_review
;Глеб Клепцов;;9 ноября 2017;https://stopgame.ru/show/95777/wolfenstein_ii_the_new_colossus_review
;Глеб Клепцов;;7 ноября 2017;https://stopgame.ru/show/95707/assassin_s_creed_origins_review
;Алексей Швек;;4 ноября 2017;https://stopgame.ru/show/95642/super_mario_odyssey_review
;Александр Бурсов;;26 октября 2017;https://stopgame.ru/show/95367/the_evil_within_2_review
;Степан Песков;;21 октября 2017;https://stopgame.ru/show/95134/south_park_the_fractured_but_whole_review
;Алексей Лихачев;;18 октября 2017;https://stopgame.ru/show/95051/battle_chasers_nightwar_review
;Глеб Клепцов;;14 октября 2017;https://stopgame.ru/show/94995/cuphead_review
;Кирилл Волошин;;12 октября 2017;https://stopgame.ru/show/94903/hob_review
;Степан Песков;;8 октября 2017;https://stopgame.ru/show/94636/darkestville_castle_review
;Ярослав Гафнер;;28 сентября 2017;https://stopgame.ru/show/94379/project_cars_2_review
;Кирилл Волошин;;22 сентября 2017;https://stopgame.ru/show/94227/divinity_original_sin_2_review
;Кирилл Волошин;;16 сентября 2017;https://stopgame.ru/show/94024/songbringer_review
;Алексей Швек;;10 сентября 2017;https://stopgame.ru/show/93881/mario_rabbids_kingdom_battle_review
;Кирилл Волошин;;10 сентября 2017;https://stopgame.ru/show/93880/xcom_2_war_of_the_chosen_review
;Алексей Лихачев;;10 сентября 2017;https://stopgame.ru/show/93858/life_is_strange_before_the_storm_review_pervogo_epizoda
;Степан Песков;;29 августа 2017;https://stopgame.ru/show/93574/observer_review
